Unnamed: 0,title,description,job_level,languages,assessment_length,downloads,url,test_type,content_hash
36,Reservation Agent Solution,the reservation agent solution is designed for entrylevel positions within the hospitality industry sample tasks may indlude making updating or canceling reservations looking up information and entering information into a computer providing information on the hotel and the services offered potential titles that use this solution are reservation agent customer service representative and reservationist multiple configurations of this solution are available,entrylevel,english usa,43.0,"[{'name': 'Fact Sheet Hospitality Suite Reservation Agent One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Reservation Agent One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,a p s b,b3e53bf0e352ce9cac18bfa75b994d9b
37,Graduate 8.0 Job Focused Assessment,the graduate 80 job focused assessment is a short targeted globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed it also provides actionable feedback to help you onboard new hires it is designed for professional level positions appropriate for recent college graduates and is available as part of shls graduate solution,graduate,english usa english international italian french german dutch chinese simplified swedish finnish norwegian danish chinese traditional turkish romanian japanese latin american spanish indonesian portuguese brazil arabic polish,20.0,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report UKE - High (1).pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/UKE_Graduate_8.0_Detailed_Report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/UKE_Graduate_8.0_Interview_Report.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Candidate_Report.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Detailed_Report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Interview_Report.pdf', 'language': 'Multi-language'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate_8.0_FactSheet(USE).pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report - High (1).pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/USE_Graduate_8.0_Detailed_Report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/USE_Graduate_8.0_Interview_Report.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0 CandidateReport ARB.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0 DetailedReport ARB.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0 InterviewReport ARB.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0CandidateReport_CHT_1095528.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0DetailedReport_CHT_1095528.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0InterviewReport_CHT_1095528.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report -  Graduate 8 CHS.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report -  Graduate 8 CHS.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - Graduate 8 CHS.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0CandidateReport_Danish1095528.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0DetailedReport_Danish1095528.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0InterviewReport_Danish1095528.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0CandidateReport_13140811.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0DetailedReport_13140811.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0InterviewReport_13140811.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0CandidateReport_13140811.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0DetailedReport_13140811.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0InterviewReport_13140811.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report - Graduate 8 FRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report - Graduate 8 FRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - Graduate 8 FRA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Candidate_Report.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Detailed_Report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Interview_Report.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0  Candidate.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0  Detailed.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Interview.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Candidate_Report.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Detailed_Report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Interview_Report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Interview Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Detailed Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_CandidateReport.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_DetailedReport.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_InterviewReport.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Detailed Report Turkish.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report Turkish.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Interview Report Turkish.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0_Candidate Report_PTBR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0_Detailed Report_PTBR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0_Interview Report_PTBR.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,p b,bbfd2dc15b6f1c3e477e449a2a9c3e14
38,Workplace Health and Safety (New),multichoice test that measures the knowledge of first aid emergency safety measures cleanliness and personal hygiene,entrylevel graduate manager supervisor midprofessional professional individual contributor,english usa,9.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Workplace Health and Safety (New).pdf', 'language': 'Multi-language'}, {'name': 'Sample Report', 'url': 'https://service.shl.com/docs/Workplace Health and Safety (New) Sample Candidate.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/,k,92f5740b2c0d0e489b9ef9f4f4ae4015
39,Insurance Administrative Assistant Solution,the administrative assistant solution is for entrylevel clerical positions that interact with external or internal customers sample tasks for this job include but are not limited to answering telephones managing files and records sorting mail handling information requests greeting customers and collaborating with coworkers on projects potential job titles that use this solution are receptionist and administrative assistant multiple configurations of this solution are available,entrylevel,english usa,24.0,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Insurance Administrative Assistant One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,a b p s,de86dd2b594411143333bfdb619f1b86
40,Workplace Safety - Team 7.1 (Americas),the workplace safety team 71 solution is designed for entrylevel positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs wearing required protective equipment working hard and responsibly safely moving equipment freight or other materials working and communicating effectively with others taking action when unsafe situations occur and following policies and procedures industries and environments with entrylevel positions that use this solution are warehouse healthcare delivery and logistics food handling and preparation assembly and installation transportation manufacturing and processing construction drivers oil and gas and mining,entrylevel general population professional individual contributor,english usa latin american spanish french canada,20.0,,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,b c p,176549df424c86f0fb152ab07ea4acf5
41,Sales Support Specialist Solution,the sales support specialist solution is for entry to midlevel sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts sample tasks for these jobs include but are not limited to implementing customer orders assisting with and coordinating activities and utilizing processes to meet customer requirements potential job titles that use this solution are implementation specialist project assistant and sales support assistant multiple configurations of this solution are available,entrylevel,english usa,43.0,"[{'name': 'Fact Sheet Sales Support Specialist One Sitting _USE', 'url': 'https://service.shl.com/docs/Fact Sheet Sales Support Specialist One Sitting _USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,a b p,b7c3bc9a576b71bc096c6f72be38feea
42,District/Regional Manager Solution,the districtregional manager solution is for mid to seniorlevel managerial positions that oversee multiple stores within a defined area sample tasks for these jobs include but are not limited to directing a group of supervisors or managers having profit and loss responsibility for a district or region and aligning work with overall company goals potential job titles that use this solution are regional director district manager general manager regional manager store manager and area manager there are multiple configurations and versions of this solution available,manager,english usa,65.0,"[{'name': 'Fact Sheet District Regional Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet District Regional Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,a b p,86c7b4216e6b401fc6810996b93fa3e0
43,Phone Banker - Short Form,this solution is for entry to midlevel financial institution positions candidates are asked to answer multiple choice questions to assess learning potential dependability persistence and planfulness sales focus customer focus and working with information,entrylevel midprofessional,english usa,40.0,"[{'name': 'Fact Sheet Phone Banker One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Phone Banker One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,a b p,c86df47e0003bdc8a486e7ffd3362699
44,Graduate + 8.0 Job Focused Assessment,the graduate 80 job focused assessment is a short targeted globally applicable assessment which includes a short cognitive ability measure it helps you identify graduates with the highest potential to contribute and succeed as well as providing actionable feedback to help you onboard new hires it is designed for professional level positions appropriate for recent college graduates and is available as part of shls graduate solution,graduate,arabic latin american spanish portuguese polish portuguese brazil romanian turkish english international italian french german dutch chinese simplified swedish norwegian danish chinese traditional spanish japanese,30.0,"[{'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report - UKE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - UKE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0%2B Candidate Report UKE - Medium (1).pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Candidate Report_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Detailed Report_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Interview Report_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0%2B Candidate Report - Medium (1).pdf', 'language': 'Multi-language'}, {'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Graduate_%2B 8.0_FactSheet(USE)[1866].pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report - USE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - USE.pdf', 'language': 'Multi-language'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate%2B 8.0 Product Fact sheet.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/sample candidate report.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/sample detailed report.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/sample interview report.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report Traditional chinese.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report Traditional chinese.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report Traditional chinese.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0CandidateReport_CHS.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0DetailedReport_CHS.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0InterviewReport_CHS.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Samplereports_Grad%2B_Grad8.0@sample.report_Graduate%2B8.0CandidateReport_1097734.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Samplereports_Grad%2B_Grad8.0@sample.report_Graduate%2B8.0DetailedReport_1097734.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Samplereports_Grad%2B_Grad8.0@sample.report_Graduate%2B8.0InterviewReport_1097734.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_CandidateReport_Dutch.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_DetailedReport_Dutch.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_InterviewReport_Dutch.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_sample@candidate2.sss_Graduate%2B8.0CandidateReport_1041535.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_sample@candidate2.sss_Graduate%2B8.0DetailedReport_1041535.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_sample@candidate2.sss_Graduate%2B8.0InterviewReport_1041535.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate0402@shl.com_Graduate%2B8.0CandidateReport_13209098.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate0402@shl.com_Graduate%2B8.0DetailedReport_13209098.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate0402@shl.com_Graduate%2B8.0InterviewReport_13209098.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0  Candidate.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0  Detailed.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Interview.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0CandidateReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0DetailedReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0InterviewReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Detailed Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Candidate Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Interview Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report Swedish.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report Swedish.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report Swedish.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Candidate Report Turkish.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Detailed Report Turkish.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Interview Report Turkish.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Candidate Report_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Detailed Report_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Interview Report_BRA.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,a b p,79c3ad38f77c5be2d4424a9bf22596f0
45,.NET MVC (New),multichoice test that measures the knowledge of modelviewcontroller mvc architecture validation security routing and areas,midprofessional professional individual contributor,english usa,17.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/.NET MVC (New).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,k,87417d4c226370c7929d111902d28a5c
46,Visual Comparison - US,this assessment measures ability to efficiently compare information and detect errors the test taker is required to examine four pairs of numbers and select the set of numbers that are not identical,entrylevel,english usa,5.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_Visual_Comparison.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us/,k,0bef910c9212538e185dd58f5a11aafc
47,Universal Competency Framework Profiler Cards (44),the ucf sets out the key behaviours that drive performance using a standard proven hierarchy that can be applied to virtually any job at any level in any organisation around the world,director entrylevel executive front line manager manager midprofessional professional individual contributor,portuguese brazil latin american spanish french chinese simplified icelandic lithuanian danish dutch english international finnish german italian norwegian portuguese spanish english usa swedish,360.0,,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,c p,c4e0daed8df0930f5c95c4f59bf40548
48,Professional/Individual Contributor - Short Form,the professionalindividual contributor solution is for mid to upperlevel nonmanagerial positions sample tasks for these jobs include but are not limited to meeting with clients to determine their needs analyzing data sets and working with coworkers to complete projects potential job titles that use this solution are engineer human resource consultant and it analyst,midprofessional professional individual contributor,english usa,44.0,"[{'name': 'Fact Sheet Professional Individual Contributor One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Professional Individual Contributor One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,a b p s,71b647f4bd944061172a5c54b33936c8
49,Accounts Payable Simulation (New),simulated data entry test that measures the ability to process payables and vendor invoices,entrylevel graduate midprofessional professional individual contributor,english usa,8.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Accounts Payable Simulation (New).pdf', 'language': 'Multi-language'}, {'name': 'Sample Report', 'url': 'https://service.shl.com/docs/Accounts Payable Simulation (New) Sample Report.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,s,3d3e6f1945392856c437de6027a5da39
50,General Entry Level - All Industries 7.1(Americas),our general entry level all industries 71 solution is designed for entrylevel positions across industries this solution predicts the following types of behaviors foundational to all jobs being ontime to work following rules and policies treating others respectfully producing quality work meeting goals and effectively working alongside others solution can be used across all industries with entrylevel positions example titles include but are not limited to administrator clerk veterinary assistant stocker dish washer office coordinator tour guide cook assistant housekeeper waste collector,entrylevel,portuguese brazil french canada english usa latin american spanish,19.0,,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,b,b8319af2edb37d76e2258567935cda92
51,Sales Professional 7.1 (Americas),our sales professional 71 solution is designed for entry to midlevel sales positions in which employees proactively sell products to customers develop relationships with repeat customers and have their pay andor performance heavily based on sales revenue sample tasks for these jobs include but are not limited to promoting products to customers persuading customers to buy products and building ongoing customer relationships,professional individual contributor midprofessional,english usa portuguese brazil latin american spanish french canada,21.0,,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,b c,4152d57721b45666c064d211489fab30
52,Verify Interactive Process Monitoring,the shl verify range of ability tests is a suite of cognitive ability assessments appropriate for candidates at a wide range of,the shl process monitoring assessment is designed for candidates in a wide range of industries where following processes ensuring vigilance and maintaining machinery are important aspects of the job role it measures candidates ability to respond in a timely manner to instrument feedback and monitor variations in a production process in order to maintain the process within specified safe control limits job levels graduate manager midprofessional professional individual contributor,english usa,18.0,"[{'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Verify Interactive Process Monitoring Fact Sheet.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Verify Interactive Process Monitoring Detailed Report US English.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Verify Interactive Process Monitoring Candidate Report US English.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring/,a,caedd036a8b5a0ebfdf35d71bf7ab377
53,Project Manager - Short Form,the project manager solution is designed for positions that lead medium to large scale projects with multiple team members involved sample tasks for this job include but are not limited to guiding supervising and influencing project team members scoping project resource requirements and managing project timelines scope and budgets potential job titles that ues this solution are project manager implementation manager construction project manager and it project manager,professional individual contributor,english usa,49.0,"[{'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleC2@shluk.com_DetailedReport_11246452.pdf', 'language': 'Multi-language'}, {'name': 'Development Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleC2@shluk.com_DevelopmentReport_11246452.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleC2@shluk.com_InterviewReport_11246452.pdf', 'language': 'Multi-language'}, {'name': 'Fact Sheet Project Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Project Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,a b p s,1030a17c2f016532f8291ed1cfa2ef61
54,Professional + 7.1 (Americas),our professional 71 solution is designed for all nonmanagerial professional individual contributor positions and includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample tasks for these jobs include but are not limited to gathering requirements analyzing data managing projects producing products or services,general population midprofessional professional individual contributor,latin american spanish,56.0,,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,b c p,db2cea54187d6b0ac416126412948086
55,Restaurant Manager Solution,the restaurant manager solution is designed for management level positions in the hospitality industry sample tasks include purchasing food and supplies accounting setting policies and procedures and managing staff the solution is focused on managing staff solving problems making good decisions and maintaining focus on the customer potential job titles that use this solution are restaurant manager and general manager multiple configurations of this solution are available,front line manager manager supervisor,english usa,48.0,"[{'name': 'Fact Sheet Hospitality Suite Restaurant Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Restaurant Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,a b p s,7e76d9b7e12fc57342296b8c48dbf221
56,WriteX - Email Writing (Customer Service) (New),open response test that evaluates the ability to write proper emails in english the test provides scores on content grammar and email etiquette your use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance,entrylevel graduate manager midprofessional professional individual contributor supervisor,english usa,15.0,"[{'name': 'Product Flyer', 'url': 'https://service.shl.com/docs/Language Assessment Flyer.pdf', 'language': 'Multi-language'}, {'name': 'Sample Report', 'url': 'https://service.shl.com/docs/WriteX - Email Writing (CustomerService) Sample Report.pdf', 'language': 'Multi-language'}, {'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/WriteX - Email Writing (Customer Service).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new/,s,2896d98e00fae31599ba9465926efcc6
57,Verify - Following Instructions,this test measures a candidates ability to follow detailed instructions and then select the correct course of action candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given,entrylevel,latin american spanish arabic chinese simplified german french italian dutch english usa english international,8.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_Verify Following Instructions.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/,a,8c797881eb3b6a5ced24bd68653201bf
